State,Number of Universities
Karnataka,10
Tamil Nadu,9
Maharashtra,6
Uttar Pradesh,3
Delhi,2
Odisha,2
Andhra Pradesh,2
Gujarat,2
Haryana,1
Kerala,1
Madhya Pradesh,1
West Bengal,1
