State,Number of Universities
Maharashtra,16
Tamil Nadu,11
Uttar Pradesh,9
Andhra Pradesh,9
Punjab,9
Karnataka,9
Haryana,6
Gujarat,6
Telangana,6
Rajasthan,5
Chhattisgarh,2
Delhi,2
West Bengal,2
Assam,2
Jharkhand,1
Himachal Pradesh,1
Chandigarh,1
Goa,1
Uttarakhand,1
Bihar,1
Kerala,1
