State,Number of Universities
Tamil Nadu,8
Delhi,7
Karnataka,6
Odisha,4
Maharashtra,4
Uttar Pradesh,4
Pondicherry,2
Rajasthan,2
Chandigarh,2
West Bengal,2
Punjab,2
Gujarat,2
Kerala,1
Haryana,1
Manipur,1
Uttarakhand,1
Chhattisgarh,1
