State,Number of Universities
Delhi,4
Punjab,3
Odisha,3
Uttar Pradesh,3
Tamil Nadu,2
Karnataka,2
West Bengal,2
Gujarat,1
Rajasthan,1
Telangana,1
Maharashtra,1
Madhya Pradesh,1
Uttarakhand,1
Jharkhand,1
Assam,1
Haryana,1
Sikkim,1
Chandigarh,1
