State,Number of Universities
Tamil Nadu,21
Maharashtra,13
Karnataka,12
Delhi,6
Uttar Pradesh,6
Andhra Pradesh,5
Punjab,5
West Bengal,4
Kerala,4
Odisha,3
Haryana,3
Rajasthan,2
Telangana,2
Assam,2
Jammu and Kashmir,2
Uttarakhand,2
Pondicherry,2
Chandigarh,1
Gujarat,1
Meghalaya,1
Mizoram,1
Himachal Pradesh,1
Jharkhand,1
