State,Number of Universities
Delhi,32
Tamil Nadu,32
Kerala,17
West Bengal,7
Maharashtra,3
Karnataka,2
Pondicherry,2
Haryana,1
Mizoram,1
Chandigarh,1
Gujarat,1
Andhra Pradesh,1
