State,Number of Universities
Tamil Nadu,10
Delhi,5
Maharashtra,5
Uttar Pradesh,5
Odisha,4
West Bengal,4
Karnataka,3
Telangana,2
Madhya Pradesh,2
Rajasthan,2
Jharkhand,1
Uttarakhand,1
Chandigarh,1
Gujarat,1
Punjab,1
Himachal Pradesh,1
Bihar,1
Assam,1
