State,Number of Universities
Tamil Nadu,6
Delhi,3
Punjab,3
Karnataka,3
Kerala,2
West Bengal,2
Madhya Pradesh,2
Uttarakhand,1
Andhra Pradesh,1
Maharashtra,1
Uttar Pradesh,1
Jammu and Kashmir,1
Gujarat,1
Jharkhand,1
Himachal Pradesh,1
Bihar,1
