State,Number of Universities
Tamil Nadu,18
Maharashtra,12
Uttar Pradesh,8
Delhi,7
Punjab,7
Karnataka,7
West Bengal,6
Odisha,4
Kerala,4
Rajasthan,4
Telangana,4
Assam,4
Madhya Pradesh,2
Gujarat,2
Uttarakhand,2
Andhra Pradesh,2
Jammu and Kashmir,2
Jharkhand,1
Chandigarh,1
Himachal Pradesh,1
Pondicherry,1
Bihar,1
