Institute ID,Name,City,State,Score,Rank
IR-P-U-0938,Dr. Vishwanath Karad MIT World Peace University,Pune,Maharashtra,38.86,87
IR-P-C-33635,Principal K.M. Kundnani College of Pharmacy,Mumbai,Maharashtra,38.79,88
IR-P-U-0037,Sri Venkateswara University,Tirupati,Andhra Pradesh,38.66,89
IR-P-C-41451,Marathwada Mitra Mandal`s College of Pharmacy,Pune,Maharashtra,38.52,90
IR-P-C-10283,"Chandigarh College of Pharmacy, Landran",Landran,Punjab,38.44,91
IR-P-U-0401,"Jaipur National University, Jaipur",Jaipur,Rajasthan,38.38,92
IR-P-C-26127,Gokaraju Rangaraju College of Pharmacy,Hyderabad,Telangana,38.21,93
IR-P-I-1248,Maliba Pharmacy College,Tarsadi,Gujarat,38.15,94
IR-P-C-24502,KLE College of Pharmacy,Bengaluru,Karnataka,38.05,95
IR-P-C-8257,"Al Shifa College of Pharmacy, Perinthalmanna",Malappuram,Kerala,38.02,96
IR-P-C-46111,KIET Group of Institutions,Ghaziabad,Uttar Pradesh,37.84,97
IR-P-C-40235,Krupanidhi College of Pharmacy,Bengaluru,Karnataka,37.73,98
IR-P-C-44200,C.U.Shah College of Pharmacy,Mumbai,Maharashtra,37.71,99
IR-P-C-39481,"Nirmala College of Pharmacy, Mangalagiri",Mangalagiri,Andhra Pradesh,37.69,100
IR-P-U-0702,Shree Guru Gobind Singh Tricentenary University,Gurgaon,Haryana,37.69,100
