Institute ID,Name,City,State,Score,Rank
IR-C-C-6502,Kanchi Mamunivar Government Institute for Postgraduate Studies and Research,Puducherry,Pondicherry,53.48,80
IR-C-C-11771,CMS College Kottayam,Kottayam,Kerala,53.03,81
IR-C-C-36411,Sacred Heart College (Autonomous),Tirupattur,Tamil Nadu,53.02,82
IR-C-C-36579,Ayya Nadar Janaki Ammal College,Sivakasi,Tamil Nadu,52.94,83
IR-C-C-6381,Keshav Mahavidyalya,Delhi,Delhi,52.88,84
IR-C-C-8209,"Government Victoria College, Palakkad",Palakkad,Kerala,52.78,85
IR-C-C-36578,Lady Doak College,Madurai,Tamil Nadu,52.76,86
IR-C-C-33555,St. Xavier`s College,Mumbai,Maharashtra,52.64,87
IR-C-C-41054,Dr. N. G. P. Arts and Science College,Coimbatore,Tamil Nadu,52.60,88
IR-C-C-11616,"Bishop Kurialacherry College For Women, Amalagiri P.O Kottayam",Kottayam,Kerala,52.47,89
IR-C-C-41100,Sri Ramakrishna College of Arts and Science,Coimbatore,Tamil Nadu,52.46,90
IR-C-C-41154,"Nesamony Memorial Christian College, Kanyakumari Dist.",Marthandam,Tamil Nadu,52.43,91
IR-C-C-43649,"Fatima Mata National College, Kollam",Kollam,Kerala,52.41,92
IR-C-C-20830,St. Joseph`s College of Commerce,Bengaluru,Karnataka,52.39,93
IR-C-C-25376,Andhra Loyola College,Vijayawada,Andhra Pradesh,52.38,94
IR-C-C-41184,"Women`s Christian College, Nagercoil",Nagercoil,Tamil Nadu,52.38,94
IR-C-C-41189,"Scott Christian College, Nagercoil",Nagercoil,Tamil Nadu,52.34,96
IR-C-C-19103,Midnapore College,Paschim Medinipur,West Bengal,52.28,97
IR-C-C-11742,Union Christian College,Ernakulam,Kerala,52.28,97
IR-C-C-6566,Mahatma Gandhi Government Arts College,Mahe,Pondicherry,52.16,99
IR-C-C-41068,Vellalar College for Women,Erode,Tamil Nadu,52.09,100
