Institute ID,Name,City,State,Score,Rank
IR-M-U-0498,Babasheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,43.97,87
IR-M-U-0507,Dayalbagh Educational Institute,Agra,Uttar Pradesh,43.95,88
IR-M-U-0147,Pandit Deendayal Energy University,Gandhinagar,Gujarat,43.77,89
IR-M-U-0851,IIHMR University,Jaipur,Rajasthan,43.68,90
IR-M-I-1144,Pune Institute of Business Management,Pune,Maharashtra,43.63,91
IR-M-U-0155,"Amity University Haryana, Gurgaon","Gurugram, Haryana",Haryana,42.68,92
IR-M-U-0643,Galgotias University,Gautam Budh Nagar,Uttar Pradesh,42.63,93
IR-M-U-0042,University of Hyderabad,Hyderabad,Telangana,42.62,94
IR-M-I-1048,"Institute of Management Technology, Nagpur",Nagpur,Maharashtra,42.61,95
IR-M-U-0223,"Jain University, Bangalore",Bengluru,Karnataka,42.48,96
IR-M-C-36557,Thiagarajar School of Management,Madurai,Tamil Nadu,42.48,96
IR-M-U-0213,Alliance University,Bengaluru,Karnataka,42.18,98
IR-M-U-0136,Gujarat University,Ahmedabad,Gujarat,41.94,99
IR-M-U-0107,Jamia Hamdard,New Delhi,Delhi,41.44,100
IR-M-U-0195,University of Jammu,Jammu,Jammu and Kashmir,41.44,100
